act to	разыгрывать
realist реалист
realtor риелтор, агент по недвижимости
reef риф
reflex рефлекс
remake ремейк
reportage репортаж
reporter репортер
reservoir резервуар
rheumatism ревматизм
rhythm ритм
ring ринг
risk риск
risotto ризотто
robot робот
rock рок
role роль
round раунд
rugby регби
sabotage саботаж
salad салат
samurai самурай
sandals сандалии
sandwich сэндвич
sarcasm сарказм
sarcophagus саркофаг
sauce соус
saxophone саксофон
scalp скальп
scandal скандал, скандалить
scanner сканер
scorpio скорпион, знак Зодиака
scrub скраб
sculptor скульптор
secret секрет
sector сектор
selfie селфи
semester семестр
seminar семинар
senator сенатор
September сентябрь
serial сериал
shaman шаман
shampoo шампунь
shaping шейпинг
shopping шопинг
show шоу
shuttle шаттл
signal сигнал
skateboard скейтборд
slang слэнг
sniper снайпер
snob сноб
snowboard сноуборд
sombrero сомбреро
soprano сопрано
soup суп
souvenir сувенир
spaghetti спагетти
spaniel спаниель
speaker спикер
speedometer спидометр
spoiler спойлер
sponge спонж
sponsor спонсор
